,Volumen,Nombre,Hora,Fecha,Stocks
530,                      2.194.396                  ,                      BAIDU                  ,                                                21:19                                        ,2018-11-09,"                      183,320                  "
531,                      469.222                  ,                      BIOGEN INC.                  ,                                                21:19                                        ,2018-11-09,"                      325,960                  "
532,                      561.325                  ,                      BIOMARIN PHA                  ,                                                21:19                                        ,2018-11-09,"                      95,510                  "
533,                      248.400                  ,                      BOOKING HOLD                  ,                                                21:19                                        ,2018-11-09,"                      1.939,950                  "
534,                      2.440.538                  ,                      BROADCOM COR                  ,                                                21:19                                        ,2018-11-09,"                      237,160                  "
535,                      916.109                  ,                      CADENCE DESI                  ,                                                21:19                                        ,2018-11-09,"                      46,220                  "
536,                      2.992.226                  ,                      CELGENE CORP                  ,                                                21:19                                        ,2018-11-09,"                      74,220                  "
537,                      1.505.185                  ,                      CERNER CORP                  ,                                                21:19                                        ,2018-11-09,"                      57,525                  "
538,                      523.868                  ,                      CHARTER COMM                  ,                                                21:19                                        ,2018-11-09,"                      320,985                  "
539,                      913.071                  ,                      CHECK POINT                  ,                                                21:19                                        ,2018-11-09,"                      112,540                  "
540,                      245.501                  ,                      CINTAS CORP                  ,                                                21:19                                        ,2018-11-09,"                      179,320                  "
541,                      15.330.415                  ,                      CISCO SYSTEM                  ,                                                21:19                                        ,2018-11-09,"                      47,240                  "
542,                      468.243                  ,                      CITRIX SYS.                  ,                                                21:19                                        ,2018-11-09,"                      106,640                  "
543,                      2.046.377                  ,                      COGNIZANT                  ,                                                21:19                                        ,2018-11-09,"                      70,300                  "
544,                      11.225.441                  ,                      COMCAST CL A                  ,                                                21:19                                        ,2018-11-09,"                      38,380                  "
545,                      1.566.768                  ,                      COSTCO WHOLE                  ,                                                21:19                                        ,2018-11-09,"                      237,560                  "
546,                      3.624.535                  ,                      CSX CORPORAT                  ,                                                21:19                                        ,2018-11-09,"                      70,570                  "
547,                      7.525.704                  ,                      CTRIP.COM                  ,                                                21:19                                        ,2018-11-09,"                      26,045                  "
548,                      7.134.540                  ,                      DENTSPLY SIR                  ,                                                21:19                                        ,2018-11-09,"                      35,980                  "
549,                      1.333.359                  ,                      DOLLAR TREE                  ,                                                21:19                                        ,2018-11-09,"                      86,320                  "
550,                      6.257.636                  ,                      EBAY INC.                  ,                                                21:19                                        ,2018-11-09,"                      29,760                  "
551,                      5.538.023                  ,                      ELECTRO.ARTS                  ,                                                21:19                                        ,2018-11-09,"                      88,480                  "
552,                      1.189.832                  ,                      EXPEDIA INC                  ,                                                21:19                                        ,2018-11-09,"                      124,490                  "
553,                      1.653.278                  ,                      EXPRESS SCR.                  ,                                                21:19                                        ,2018-11-09,"                      98,690                  "
554,                      12.811.126                  ,                      FACEBOOK INC                  ,                                                21:19                                        ,2018-11-09,"                      145,020                  "
555,                      3.026.937                  ,                      FASTENAL CO.                  ,                                                21:19                                        ,2018-11-09,"                      54,740                  "
556,                      1.318.521                  ,                      FISERV INC                  ,                                                21:19                                        ,2018-11-09,"                      80,075                  "
557,                      2.748.161                  ,                      GILEAD SCIEN                  ,                                                21:19                                        ,2018-11-09,"                      71,054                  "
558,                      806.700                  ,"                      HASBRO, INC.                  ",                                                21:19                                        ,2018-11-09,"                      97,260                  "
559,                      866.439                  ,                      HENRY SCHEIN                  ,                                                21:19                                        ,2018-11-09,"                      85,100                  "
560,                      1.790.501                  ,                      HOLOGIC INC                  ,                                                21:19                                        ,2018-11-09,"                      41,620                  "
561,                      668.192                  ,                      HUNT J B TRA                  ,                                                21:19                                        ,2018-11-09,"                      107,070                  "
562,                      248.374                  ,                      IDEXX LAB                  ,                                                21:19                                        ,2018-11-09,"                      206,810                  "
563,                      816.195                  ,                      ILLUMINA INC                  ,                                                21:19                                        ,2018-11-09,"                      330,110                  "
564,                      851.011                  ,                      INCYTE GENOM                  ,                                                21:19                                        ,2018-11-09,"                      66,100                  "
565,                      15.186.450                  ,                      INTEL CORP                  ,                                                21:19                                        ,2018-11-09,"                      48,120                  "
566,                      1.199.150                  ,                      INTUIT INC                  ,                                                21:19                                        ,2018-11-09,"                      221,820                  "
567,                      473.199                  ,                      INTUITIVE S.                  ,                                                21:19                                        ,2018-11-09,"                      533,720                  "
568,                      13.925.644                  ,"                      JD.COM, INC.                  ",                                                21:19                                        ,2018-11-09,"                      21,795                  "
569,                      983.167                  ,                      KLA-TENCOR                  ,                                                21:19                                        ,2018-11-09,"                      95,340                  "
570,                      4.046.033                  ,                      KRAFT HEINZ                  ,                                                21:19                                        ,2018-11-09,"                      54,060                  "
571,                      1.223.144                  ,                      LAM RESEARCH                  ,                                                21:19                                        ,2018-11-09,"                      148,180                  "
572,                      2.446.400                  ,                      LIBERTY GLO.                  ,                                                21:19                                        ,2018-11-09,"                      24,750                  "
573,                      1.558.351                  ,                      LIBERTY GLOB                  ,                                                21:19                                        ,2018-11-09,"                      25,340                  "
574,                      3.816.031                  ,                      LIBERTY INTE                  ,                                                21:19                                        ,2018-11-09,"                      24,600                  "
575,                      1.156.193                  ,                      MARRIOTT INT                  ,                                                21:19                                        ,2018-11-09,"                      117,020                  "
576,                      2.251.952                  ,                      MAXIM INTGED                  ,                                                21:19                                        ,2018-11-09,"                      52,010                  "
577,                      322.569                  ,                      MERCADOLIBRE                  ,                                                21:19                                        ,2018-11-09,"                      325,500                  "
578,                      3.149.589                  ,                      MICROCHIP                  ,                                                21:19                                        ,2018-11-09,"                      71,830                  "
579,                      20.019.339                  ,                      MICRON TECH.                  ,                                                21:19                                        ,2018-11-09,"                      39,090                  "
580,                      22.344.963                  ,                      MICROSOFT                  ,                                                21:19                                        ,2018-11-09,"                      109,700                  "
581,                      4.326.021                  ,                      MONDELEZ INT                  ,                                                21:19                                        ,2018-11-09,"                      44,315                  "
582,                      3.964.866                  ,                      MONSTER BEVE                  ,                                                21:19                                        ,2018-11-09,"                      56,970                  "
583,                      2.611.402                  ,                      MYLAN N.V.                  ,                                                21:19                                        ,2018-11-09,"                      36,930                  "
584,                      1.212.167                  ,                      NETEASE                  ,                                                21:19                                        ,2018-11-09,"                      221,910                  "
585,                      11.713.321                  ,                      NETFLIX INC.                  ,                                                21:19                                        ,2018-11-09,"                      304,083                  "
586,                      8.781.789                  ,                      NVIDIA CORP.                  ,                                                21:19                                        ,2018-11-09,"                      206,300                  "
587,                      2.474.522                  ,                      NXP SEMICON.                  ,                                                21:19                                        ,2018-11-09,"                      83,300                  "
588,                      575.751                  ,                      O'REILLY AUT                  ,                                                21:19                                        ,2018-11-09,"                      355,730                  "
589,                      881.723                  ,                      PACCAR INC.                  ,                                                21:19                                        ,2018-11-09,"                      58,535                  "
590,                      715.899                  ,                      PAYCHEX INC                  ,                                                21:19                                        ,2018-11-09,"                      68,890                  "
591,                      6.712.973                  ,                      PAYPAL HOLDI                  ,                                                21:19                                        ,2018-11-09,"                      86,560                  "
592,                      3.308.659                  ,"                      PEPSICO, INC                  ",                                                21:19                                        ,2018-11-09,"                      117,380                  "
593,                      16.701.643                  ,                      QUALCOMM INC                  ,                                                21:19                                        ,2018-11-09,"                      56,520                  "
594,                      389.373                  ,                      REGENERON PH                  ,                                                21:19                                        ,2018-11-09,"                      356,080                  "
595,                      1.251.859                  ,                      ROSS STORES                  ,                                                21:19                                        ,2018-11-09,"                      102,557                  "
596,                      5.858.249                  ,                      SEAGATE TECH                  ,                                                21:19                                        ,2018-11-09,"                      43,217                  "
597,                      1.211.372                  ,                      SHIRE PLC                  ,                                                21:19                                        ,2018-11-09,"                      180,270                  "
598,                      12.065.458                  ,                      SIRIUS XM HL                  ,                                                21:19                                        ,2018-11-09,"                      6,220                  "
599,                      6.940.577                  ,                      SKYWORKS                  ,                                                21:19                                        ,2018-11-09,"                      76,805                  "
600,                      5.915.210                  ,                      STARBUCKS                  ,                                                21:19                                        ,2018-11-09,"                      68,820                  "
601,                      5.843.631                  ,                      SYMANTEC COR                  ,                                                21:19                                        ,2018-11-09,"                      22,195                  "
602,                      466.788                  ,                      SYNOPSYS INC                  ,                                                21:19                                        ,2018-11-09,"                      93,280                  "
603,                      1.657.726                  ,"                      T-MOBILE US,                  ",                                                21:19                                        ,2018-11-09,"                      68,750                  "
604,                      5.047.966                  ,                      TAKE-TWO INT                  ,                                                21:19                                        ,2018-11-09,"                      111,960                  "
605,                      4.383.579                  ,                      TESLA MOTORS                  ,                                                21:19                                        ,2018-11-09,"                      349,636                  "
606,                      3.964.304                  ,                      TEXAS INSTRS                  ,                                                21:19                                        ,2018-11-09,"                      96,045                  "
607,                      7.913.127                  ,                      TWENTY-FIRST                  ,                                                21:19                                        ,2018-11-09,"                      48,240                  "
608,                      3.576.595                  ,                      TWENTY-FIRST                  ,                                                21:19                                        ,2018-11-09,"                      47,810                  "
609,                      1.131.679                  ,                      ULTA SALON                  ,                                                21:19                                        ,2018-11-09,"                      307,110                  "
610,                      758.956                  ,                      VERISK ANALY                  ,                                                21:19                                        ,2018-11-09,"                      123,280                  "
611,                      933.277                  ,                      VERTEX PHARM                  ,                                                21:19                                        ,2018-11-09,"                      179,270                  "
612,                      5.022.930                  ,                      VODAFONE GRP                  ,                                                21:19                                        ,2018-11-09,"                      18,805                  "
613,                      2.404.050                  ,                      WALGREENS B.                  ,                                                21:19                                        ,2018-11-09,"                      82,380                  "
614,                      4.510.841                  ,                      WESTERN DIGI                  ,                                                21:19                                        ,2018-11-09,"                      45,870                  "
615,                      1.344.154                  ,"                      WORKDAY, INC                  ",                                                21:19                                        ,2018-11-09,"                      140,090                  "
616,                      4.551.259                  ,                      WYNN RESORTS                  ,                                                21:19                                        ,2018-11-09,"                      98,480                  "
617,                      1.708.559                  ,                      XILINX INC                  ,                                                21:19                                        ,2018-11-09,"                      85,750                  "
